word_id,word,pinyin,video_url,sort_order,category
00000188_0,北京,Bĕijīng,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000188.mp4,38,common
00000579_1,背面,bèimiàn,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000579.mp4,39,common
'00002971,倍,bèi,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00002971.mp4,40,common
'00000144,被,bèi,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000144.mp4,41,common
00000263_1,本,bĕn,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000263.mp4,42,common
'00000912,笨,bèn,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000912.mp4,43,common
00000489_1,鼻涕,bítì,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000489.mp4,44,common
00001063_2,比划,bĭ·huɑ,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00001063.mp4,45,common
00000101_0,比较,bĭjiào,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000101.mp4,46,common
00000101_1,比赛,bĭsài,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000101.mp4,47,common
00000798_2,彼此,bĭcĭ,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000798.mp4,48,common
00000074_0,必须,bìxū,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000074.mp4,49,common
'00000347,毕业,bìyè,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000347.mp4,50,common
00000365_1,编码,biānmǎ,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000365.mp4,51,common
00000331_0,变化,biànhuà,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000331.mp4,52,common
00000150_2,便捷,biànjié,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000150.mp4,53,common
